_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry,LONGITUDE,LATITUDE
1,2,JARVIS ST,None,FRONT ST E,LOWER JARVIS ST,None,None,1948-11-15T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,1,11075761,13466793.0,1.0,,,,1,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.3714639959891, 43.64944999708736]}",-79.3714639959891,43.64944999708736
2,3,KING ST E,None,JARVIS ST,None,None,None,1950-08-23T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,2,8344825,13466630.0,1.0,1.0,,,2,,,1.0,,,2021-06-23T04:00:00,2021-06-23T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.3719129962965, 43.650463001136515]}",-79.3719129962965,43.650463001136515
3,4,JARVIS ST,None,ADELAIDE ST E,None,None,None,1958-09-12T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,3,2884350,13466455.0,,,,,3,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.3723650028596, 43.65152699929593]}",-79.3723650028596,43.65152699929593
4,5,JARVIS ST,None,RICHMOND ST E,None,None,None,1962-04-21T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,4,1144943,13466268.0,,,,,4,,1.0,,2020-10-08T04:00:00,2020-10-08T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37283099386956, 43.65270399605759]}",-79.37283099386956,43.65270399605759
5,6,JARVIS ST,None,QUEEN ST E,None,None,None,1928-08-24T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,5,14024688,13466110.0,,,,,5,,,,2021-03-03T05:00:00,2021-03-03T05:00:00,2021-03-03T05:00:00,2021-03-03T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37325399423514, 43.653729000151515]}",-79.37325399423514,43.653729000151515
6,7,JARVIS ST,None,SHUTER ST,None,None,None,1948-11-18T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,6,30074729,13465860.0,,,,,6,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37391700571683, 43.65536100365847]}",-79.37391700571683,43.65536100365847
7,8,JARVIS ST,None,DUNDAS ST E,None,None,None,1928-06-21T04:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,7,14021174,13465569.0,1.0,,,,7,,,,2020-10-08T04:00:00,2020-10-08T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37456600093638, 43.65706699657535]}",-79.37456600093638,43.65706699657535
8,9,JARVIS ST,None,GERRARD ST E,None,None,None,1941-07-14T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,8,2597802,13465038.0,,,,,8,,,,2020-12-22T05:00:00,2020-12-22T05:00:00,2020-12-22T05:00:00,2020-12-22T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37589899899584, 43.66043899686976]}",-79.37589899899584,43.66043899686976
9,10,JARVIS ST,None,CARLTON ST,None,None,None,1928-06-28T04:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,9,1143470,13464719.0,,,,,9,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37671599844334, 43.66241799799948]}",-79.37671599844334,43.66241799799948
10,11,JARVIS ST,None,WELLESLEY ST E,None,None,None,1948-09-28T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,10,6522648,13464096.0,,,,,10,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37834700615069, 43.66628500101939]}",-79.37834700615069,43.66628500101939
11,12,JARVIS ST,None,ISABELLA ST,None,None,None,1960-09-13T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,11,1142453,13463674.0,,,,,11,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37945200498093, 43.66889300271921]}",-79.37945200498093,43.66889300271921
12,13,MOUNT PLEASANT RD,None,CHARLES ST E,JARVIS ST,None,None,1950-05-23T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,12,7753909,13463463.0,-1.0,,,,12,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37990499437741, 43.66997300005654]}",-79.37990499437741,43.66997300005654
13,14,BLOOR ST E,None,TED ROGERS WAY,None,250 BLOOR ST E,None,1951-03-28T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,13,8536222,13463195.0,1.0,,,,13,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38056599777318, 43.6716099990184]}",-79.38056599777318,43.6716099990184
14,15,CHURCH ST,None,FRONT ST E,WELLINGTON ST E,None,None,1950-04-24T04:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,14,14254940,14254942.0,,,,,14,,,,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37378599818705, 43.64844200138915]}",-79.37378599818705,43.64844200138915
15,16,KING ST E,None,CHURCH ST,None,None,None,1928-01-10T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,15,14036413,13466729.0,1.0,1.0,,,15,,,,,,2022-04-13T04:00:00,2022-04-13T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37441199642254, 43.64992100253796]}",-79.37441199642254,43.64992100253796
