_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry,LONGITUDE,LATITUDE
1,5010,BATHURST ST,135m NORTH OF,COLLEGE ST,None,None,KING EDWARD PUBLIC SCHOOL,2485,9086483,,2485,"{""type"": ""Point"", ""coordinates"": [-79.40819999547631, 43.6577100019432]}",-79.40819999547631,43.6577100019432
2,5012,BATHURST ST,None,SCADDING CRT,None,None,120m SOUTH OF DUNDAS ST W,2486,30061749,30061747.0,2486,"{""type"": ""Point"", ""coordinates"": [-79.4056040041994, 43.6512669957427]}",-79.4056040041994,43.6512669957427
3,5014,ANGLESEY BLVD,None,HARTFIELD RD,None,None,HUMBER VALLEY CHURCH & SCHOOL,2487,9311720,13464700.0,2487,"{""type"": ""Point"", ""coordinates"": [-79.52851199795252, 43.66459700173547]}",-79.52851199795252,43.66459700173547
4,5015,BAYVIEW AVE,None,PARKHURST BLVD,SOUDAN AVE,None,None,2488,493,13456739.0,2488,"{""type"": ""Point"", ""coordinates"": [-79.3763379938911, 43.708703999703154]}",-79.3763379938911,43.708703999703154
5,5020,ANNETTE ST,None,DURIE ST,None,None,None,2489,7973898,13465420.0,2489,"{""type"": ""Point"", ""coordinates"": [-79.48257400128824, 43.65949400063825]}",-79.48257400128824,43.65949400063825
6,5022,BLOOR ST W,None,PAULINE AVE,None,None,None,2490,1143991,13465325.0,2490,"{""type"": ""Point"", ""coordinates"": [-79.43760700578308, 43.659426003843265]}",-79.43760700578308,43.659426003843265
7,5025,BROADVIEW AVE,None,TORRENS AVE,None,None,None,2491,10431226,13459803.0,2491,"{""type"": ""Point"", ""coordinates"": [-79.35516300377375, 43.690274001038205]}",-79.35516300377375,43.690274001038205
8,5030,DANFORTH AVE,None,CAITHNESS AVE,None,None,None,2492,8066575,13461457.0,2492,"{""type"": ""Point"", ""coordinates"": [-79.33486100596515, 43.680948001135626]}",-79.33486100596515,43.680948001135626
9,5040,DUNDAS ST E,None,ALTON AVE,None,None,None,2493,14022890,13463823.0,2493,"{""type"": ""Point"", ""coordinates"": [-79.32938299936899, 43.66728900132832]}",-79.32938299936899,43.66728900132832
10,5041,DUNDAS ST E,None,BOND ST,None,None,None,2494,14021031,13465719.0,2494,"{""type"": ""Point"", ""coordinates"": [-79.37831699433877, 43.65626200053012]}",-79.37831699433877,43.65626200053012
11,5045,DUNDAS ST E,None,GEORGE ST,None,None,None,2495,7649612,13465526.0,2495,"{""type"": ""Point"", ""coordinates"": [-79.37345799877177, 43.657302996987376]}",-79.37345799877177,43.657302996987376
12,5048,ANNETTE ST,None,GILMOUR AVE,None,None,None,2496,1143899,13465238.0,2496,"{""type"": ""Point"", ""coordinates"": [-79.4776660021882, 43.660553001590095]}",-79.4776660021882,43.660553001590095
