X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,ObjectId
-8857067.38007743,5424530.92148267,7404325,1289649,2012,2012/02/18 05:00:00+00,515,ISLINGTON AVE,SANDHILL DR,,Major Arterial,Etobicoke York,1,43.735045,-79.56439,Mid-Block,At Intersection,No Control,Snow,Dark,Packed Snow,Non-Fatal Injury,Approaching,Driver,25 to 29,None,,North,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,,,,,Yes,,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),D23,1
-8857067.38007743,5424530.92148267,7404326,1289649,2012,2012/02/18 05:00:00+00,515,ISLINGTON AVE,SANDHILL DR,,Major Arterial,Etobicoke York,1,43.735045,-79.56439,Mid-Block,At Intersection,No Control,Snow,Dark,Packed Snow,Non-Fatal Injury,Approaching,Driver,25 to 29,Major,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,,,Yes,,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),D23,2
-8824183.6024971,5436278.22563237,7418121,1295588,2012,2012/04/01 04:00:00+00,510,MCCOWAN RD,FINCH AVE E,,Major Arterial,Scarborough,23,43.811245,-79.26899,Mid-Block,,No Control,Drifting Snow,"Dark, artificial",Wet,Non-Fatal Injury,Approaching,Driver,45 to 49,Minimal,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,,,Yes,,129,Agincourt North,129,Agincourt North (129),D42,3
-8824183.6024971,5436278.22563237,7418122,1295588,2012,2012/04/01 04:00:00+00,510,MCCOWAN RD,FINCH AVE E,,Major Arterial,Scarborough,23,43.811245,-79.26899,Mid-Block,,No Control,Drifting Snow,"Dark, artificial",Wet,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,,,,,Yes,,129,Agincourt North,129,Agincourt North (129),D42,4
-8824183.6024971,5436278.22563237,7418123,1295588,2012,2012/04/01 04:00:00+00,510,MCCOWAN RD,FINCH AVE E,,Major Arterial,Scarborough,23,43.811245,-79.26899,Mid-Block,,No Control,Drifting Snow,"Dark, artificial",Wet,Non-Fatal Injury,Approaching,Driver,35 to 39,Major,,North,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,,,,,Yes,,129,Agincourt North,129,Agincourt North (129),D42,5
-8838054.01104994,5421742.74917823,7559313,1287084,2012,2012/04/03 04:00:00+00,230,MOUNT PLEASANT RD,STIBBARD AVE,,Major Arterial,North York,15,43.716945,-79.39359,Intersection,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Passenger,20 to 24,Fatal,7,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,99,Mount Pleasant East,99,Mount Pleasant East (99),D53,6
-8820047.86077514,5432045.62119998,80941914,8000340465,2018,2018/02/23 05:00:00+00,118,931 PROGRESS AVE,,5 m West of,Minor Arterial,Scarborough,24,43.783801,-79.231838,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Minor,,North,"Automobile, Station Wagon",Going Ahead,Other,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,Yes,,,,Yes,,142,Woburn North,137,Woburn (137),D43,7
-8838054.01104994,5421742.74917823,7559314,1287084,2012,2012/04/03 04:00:00+00,230,MOUNT PLEASANT RD,STIBBARD AVE,,Major Arterial,North York,15,43.716945,-79.39359,Intersection,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,99,Mount Pleasant East,99,Mount Pleasant East (99),D53,8
-8838054.01104994,5421742.74917823,7559315,1287084,2012,2012/04/03 04:00:00+00,230,MOUNT PLEASANT RD,STIBBARD AVE,,Major Arterial,North York,15,43.716945,-79.39359,Intersection,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Driver,15 to 19,Minimal,,South,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,99,Mount Pleasant East,99,Mount Pleasant East (99),D53,9
-8862528.93693473,5426106.07210291,80943319,8000372713,2018,2018/02/27 05:00:00+00,2128,ALBION RD,CARRIER DR,50 m East of,Major Arterial,Etobicoke York,1,43.745268,-79.613452,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,Minor,,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,Yes,,Yes,,1,West Humber-Clairville,1,West Humber-Clairville (1),D23,10
