Long,Lat,Stn_Name,Clim_ID,Prov,Average Temp (C Deg)
-67.716,46.712,AROOSTOOK,8100300,NB,8.825
-64.833,47.802,BAS CARAQUET,8100467,NB,6.875
-64.867,47.8,BAS CARAQUET,8100468,NB,
-65.739,47.63,BATHURST A,8100505,NB,7.057142857
-65.74,47.63,BATHURST A,8100506,NB,
-64.768,46.43,BUCTOUCHE CDA CS,8100593,NB,9.925
-66.334,47.99,CHARLO AUTO,8100885,NB,6.8125
-65.465,47.009,MIRAMICHI RCS,8100989,NB,8.3875
-66.01,46.585,DOAKTOWN AUTO RCS,8101201,NB,
-68.324,47.417,EDMUNDSTON,8101303,NB,6.457142857
-66.537,45.869,FREDERICTON,8101505,NB,7.75
-66.609,45.92,FREDERICTON CDA CS,8101605,NB,10
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,NB,8.6875
-66.43,45.83,GAGETOWN A,8101792,NB,7.9125
-66.45,45.839,GAGETOWN AWOS A,8101794,NB,10.4125
-66.802,44.712,GRAND MANAN SAR CS,8101925,NB,8.2625
-65.013,46.789,KOUCHIBOUGUAC,8102326,NB,8.7875
-65.017,46.783,KOUCHIBOUGUAC CS,8102328,NB,
-66.899,45.954,MACTAQUAC PROV PARK,8102536,NB,
-65.165,45.694,MECHANIC SETTLEMENT,8102848,NB,8.2625
-64.494,48.009,MISCOU ISLAND (AUT),8103050,NB,5
-64.679,46.112,MONCTON INTL A,8103201,NB,9.775
-64.68,46.11,MONCTON / GREATER MONCTON ROMEO LEBLANC INTL A,8103202,NB,
-66.099,45.507,OAK POINT,8103780,NB,8.7125
-66.449,45.073,POINT LEPREAU CS,8104201,NB,
-65.598,47.439,RED PINES,8104295,NB,
-65.89,45.316,SAINT JOHN A,8104901,NB,
-67.253,45.21,ST. STEPHEN,8104935,NB,
-65.529,45.742,SUSSEX FOUR CORNERS,8105210,NB,
-67.554,46.17,WOODSTOCK,8105600,NB,
-67.543,46.152,WOODSTOCK NEWBRIDGE,8105603,NB,
